Age,Signal,Signal + Noise,Downsampled Signal + Noise
0.0,1.0,1.0,
1.0,0.0,-0.010135959514163868,
2.0,0.0,-0.13639257686175027,
3.0,0.0,0.16839964697151177,0.16839964697151177
4.0,0.0,0.3677451328327272,
5.0,0.0,0.13765386623455997,0.13765386623455997
6.0,0.0,-0.032434355921971816,-0.032434355921971816
7.0,0.0,-0.005960994596774136,
8.0,0.0,0.05816420973322928,
9.0,0.0,0.14822472347851565,0.14822472347851565
10.0,0.0,0.09949677896744734,
11.0,0.0,-0.0038546604267327973,-0.0038546604267327973
12.0,0.0667569910739945,0.05505532461953045,
13.0,0.13421780214398693,0.14828558827936553,
14.0,0.20178374928172366,0.32235086432077104,0.32235086432077104
15.0,0.2688582631882426,0.3920775859473752,
16.0,0.3348440533052886,0.41415281982329155,0.41415281982329155
17.0,0.3991436639141053,0.6368145269185636,
18.0,0.4611614418174758,0.4593556496762667,
19.0,0.5203055264254535,0.7022949417053465,
20.0,0.5759884709195445,0.6213842951640471,
21.0,0.6276245213331078,0.5931410358192659,0.5931410358192659
22.0,0.674619920431747,0.42050122027046344,
23.0,0.7163480821028064,0.39098301572586414,0.39098301572586414
24.0,0.7520872996025125,0.627566183917146,
25.0,0.7808402858416421,0.7756807263878777,
26.0,0.8005332783748426,0.7742881633705351,
27.0,0.7738488357623479,0.7168872630740911,
28.0,0.7480538745702696,1.0167982885866031,1.0167982885866031
29.0,0.7231187454179273,0.9116511486651445,
30.0,0.6990147872373297,0.9262353453217289,
31.0,0.6757142943294187,0.981486472101215,
32.0,0.653190484518438,0.9196959836540781,0.9196959836540781
33.0,0.6314174683678234,0.9532032145911375,
34.0,0.6103702194222294,0.7691713743372868,
35.0,0.5900245454414884,0.7366130368995105,
36.0,0.5703570605934388,1.0181947662342232,1.0181947662342232
37.0,0.5513451585736575,0.8898126566807484,
38.0,0.5329669866212022,0.786379265890163,
39.0,0.569313276456602,0.69033333243991,
40.0,0.6096954256799538,0.7691197901578957,0.7691197901578957
41.0,0.6528600476226035,0.9751211324080031,
42.0,0.6978550371091778,0.9237162030122351,
43.0,0.7438711264827589,0.8769630484288029,0.8769630484288029
44.0,0.7901842534400857,0.8015613183051149,0.8015613183051149
45.0,0.8361317636337959,0.8514738625479855,
46.0,0.8811026043514386,0.7602552760710368,
47.0,0.9245339781465325,0.6281380246730475,
48.0,0.965911082201859,0.8290754548187446,
49.0,1.004768212243242,0.806385294500027,0.806385294500027
50.0,1.04069023971771,0.6754624532742532,
51.0,1.0733138012516652,0.741498289230589,0.741498289230589
52.0,1.1023276513569045,0.6606627990099434,0.6606627990099434
53.0,1.1274715521234446,0.6839359180591713,
54.0,1.148532694350179,0.6665375820727358,
55.0,1.165337528004761,0.7916554408986407,
56.0,1.1777334379787914,1.0103097665958358,1.0103097665958358
57.0,1.185541752239542,1.1220798767610887,
58.0,1.1883916392465967,1.301891030062049,1.301891030062049
59.0,1.1837823166218637,1.1954732908099255,
60.0,1.1443229060678015,1.0809123007714327,
61.0,1.106178809198875,1.272169361283578,
62.0,1.0693061822255792,1.1415183675664884,
63.0,1.0336626428180598,1.1058391337021782,1.1058391337021782
64.0,1.0383691980723255,0.8963927365052448,
65.0,1.0475425392067177,1.082295519231926,
66.0,1.060046309821076,1.0382132305521654,1.0382132305521654
67.0,1.0752812304702104,1.2050364576768806,
68.0,1.0927857151329352,1.029610905950272,
69.0,1.1121556171121778,0.8821588670299249,
70.0,1.133018755894136,0.7642807304488608,0.7642807304488608
71.0,1.1550252215331263,0.8524230519849393,0.8524230519849393
72.0,1.1778432614933272,0.8659020400648303,
73.0,1.2011572618650592,1.0104624411123149,
74.0,1.2246664366440088,1.2159557179886114,1.2159557179886114
75.0,1.2480836424238457,1.4488367871279926,
76.0,1.2711340938723872,1.2137472749410392,1.2137472749410392
77.0,1.2935539342236024,1.3173329302635521,1.3173329302635521
78.0,1.3150887092788186,1.2185739086563385,
79.0,1.335491839304162,1.2223857673789718,1.2223857673789718
80.0,1.3545231948351413,1.2370392236769392,
81.0,1.3719478640954794,1.2295420240238428,
82.0,1.387535149303602,1.180141100760637,
83.0,1.4010577351622766,1.2011602513006623,1.2011602513006623
84.0,1.412290803342565,1.2494308234750626,1.2494308234750626
85.0,1.42101053571482,1.430697024149706,
86.0,1.4269907102027244,1.5812156336747496,1.5812156336747496
87.0,1.4299941508391372,1.4950017318360491,
88.0,1.4297495343990816,1.2824578054624243,
89.0,1.4258768643225819,1.2590456038320508,
90.0,1.4175096121933637,1.2951932275394376,1.2951932275394376
91.0,1.3702592917869183,1.1963725938600793,
92.0,1.3245839820606877,1.3122776766464854,1.3122776766464854
93.0,1.2804311826586647,1.1900349750726154,
94.0,1.2377501432367093,1.1986660835117422,
